d,date,v_vwap
3131,2021-11-22,1.9324843609947353
3141,2021-12-06,1.972130710278187
3151,2021-12-20,2.0983303234640847
3161,2022-01-04,2.201358223152833
3165,2022-01-10,2.208695959476908
3175,2022-01-24,2.1828352668072806
3190,2022-02-21,2.2219132975072022
3200,2022-03-07,2.192978414878372
3210,2022-03-21,2.091374181277152
3220,2022-04-06,2.0631991296664216
3228,2022-04-18,1.9214078342625933
3238,2022-05-05,1.7460393359674196
3245,2022-05-16,1.8590849804810452
3255,2022-05-30,1.9161139122895559
3264,2022-06-13,2.030315244157255
3274,2022-06-27,2.144734531280868
3284,2022-07-11,2.140902470040753
3294,2022-07-25,2.221948499058348
3304,2022-08-08,2.2290030009523853
3314,2022-08-22,2.281686270105613
3324,2022-09-05,2.2915526134823665
3333,2022-09-19,2.1535622905725225
3343,2022-10-10,2.077718215552843
3348,2022-10-17,2.2255636208319496
3358,2022-10-31,2.1828977362662
3368,2022-11-14,2.3446980885057016
3378,2022-11-28,2.320112038199914
3388,2022-12-12,2.3900761125130323
3398,2022-12-26,2.2758919625141645
3407,2023-01-09,2.350355123227339
3417,2023-01-30,2.451646203185589
3422,2023-02-06,2.5176721650636322
3432,2023-02-20,2.5526897925871244
3442,2023-03-06,2.618312564225538
3452,2023-03-20,2.559062118664352
3462,2023-04-03,2.569757890134988
3471,2023-04-17,2.550467526097193
3481,2023-05-04,2.5782247304903096
3488,2023-05-15,2.5758714109059566
3498,2023-05-29,2.641977112669237
3508,2023-06-12,2.6086160638179847
3526,2023-07-10,2.7527070276628103
3536,2023-07-24,2.7971165823981687
3546,2023-08-07,2.8556178952215254
3556,2023-08-21,2.816516652267714
3566,2023-09-04,2.86696345967663
3576,2023-09-18,2.861897940915165
3590,2023-10-16,2.8346903192323
3600,2023-10-30,2.878111304236339
3610,2023-11-13,2.9664685444745285
3620,2023-11-27,2.994482236799507
3630,2023-12-11,2.927152225873853
3640,2023-12-25,2.8819027459079085
3649,2024-01-08,2.945278679857282
3659,2024-01-22,2.672288931876645
3669,2024-02-05,1.9989913157386732
3683,2024-03-04,2.460236479896914
3693,2024-03-18,2.6761197195897615
3703,2024-04-01,2.7318070895710513
3711,2024-04-15,2.5065901226707656
3721,2024-04-29,2.59509577919288
3728,2024-05-13,2.642918307518505
3738,2024-05-27,2.577874869104403
3748,2024-06-11,2.3458723851509475
3757,2024-06-24,2.260075344424404
3767,2024-07-08,2.2561229333613118
3777,2024-07-22,2.272353784312556
3787,2024-08-05,2.329265958558091
3797,2024-08-19,2.302088083694084
3807,2024-09-02,2.278409006035925
3817,2024-09-18,2.1833528897817236
3825,2024-09-30,2.6845705604750214
3830,2024-10-14,2.6222022536822838
3840,2024-10-28,2.9167211580506205
3850,2024-11-11,3.096294735787574
3860,2024-11-25,3.0783953249200082
3870,2024-12-09,3.320534848676812
3880,2024-12-23,3.1501177506092284
3889,2025-01-06,2.876818924406872
3899,2025-01-20,3.1166609807792978
3913,2025-02-17,3.2973520478211142
3923,2025-03-03,3.331684186515373
3933,2025-03-17,3.513650521105741
3943,2025-03-31,3.377182283829648
3952,2025-04-14,3.32443494629662
3962,2025-04-28,3.374261869650108
3969,2025-05-12,3.662764483753179
3979,2025-05-26,3.7027349411199335
3988,2025-06-09,3.8830078639653953
3998,2025-06-23,3.838209446913766
4008,2025-07-07,4.144368684359732
4018,2025-07-21,4.384178185667786
4028,2025-08-04,4.485711228005598
4038,2025-08-18,4.646378550159396
4048,2025-09-01,4.6412243055025675
4058,2025-09-15,4.731398016610915
4068,2025-09-29,4.67126240974104
4072,2025-10-13,4.660377318310537
4082,2025-10-27,4.918816546525779
4092,2025-11-10,5.119964890065472
4102,2025-11-24,4.940406761253565
4112,2025-12-08,5.147582053390418
4122,2025-12-22,5.038592377705215
4140,2026-01-19,5.427539270881933
4150,2026-02-02,5.520033799058692
4160,2026-02-24,5.739593460946096
4164,2026-03-02,5.674023852822492
4174,2026-03-16,5.650291034729439
4184,2026-03-30,5.271605175049442
4193,2026-04-13,5.322095412928968
4203,2026-04-27,5.408629230665923
4210,2026-05-11,5.7064762151011
4220,2026-05-25,5.4032791754842036
4230,2026-06-08,4.888119005095995
4249,2026-07-06,4.65464052856105
4259,2026-07-20,4.315218177924322
4269,2026-08-03,4.45105333721483
4279,2026-08-17,5.2971734093715375
4289,2026-08-31,5.330950473750996
