d,date,v_vwap
2992,2021-04-26,1.7838678206162277
2999,2021-05-10,1.7438533724348746
3009,2021-05-24,1.7718974061110422
3019,2021-06-07,1.8267185026825783
3028,2021-06-21,1.8090560052016345
3038,2021-07-05,1.8115777163554483
3048,2021-07-19,1.8115896177003066
3058,2021-08-02,1.7769480895369063
3068,2021-08-16,1.8743525105400174
3078,2021-08-30,1.8978632500934733
3088,2021-09-13,2.032789841059785
3096,2021-09-27,1.988268404006745
3101,2021-10-11,2.0242097583221534
3111,2021-10-25,1.9907898233268189
3121,2021-11-08,2.005531800250596
3131,2021-11-22,2.158348284050473
3141,2021-12-06,2.205194350504593
3151,2021-12-20,2.3486068384129837
3161,2022-01-04,2.4664073591011584
3165,2022-01-10,2.477041742840918
3175,2022-01-24,2.4495125607150112
3190,2022-02-21,2.496734026334594
3200,2022-03-07,2.4683002710663513
3210,2022-03-21,2.356852364368306
3220,2022-04-06,2.3279400278974482
3228,2022-04-18,2.1701667902641657
3238,2022-05-05,1.9751674449965948
3245,2022-05-16,2.1068122484132292
3255,2022-05-30,2.174072364449157
3264,2022-06-13,2.3060738814506028
3274,2022-06-27,2.4388579592385047
3284,2022-07-11,2.4375629755624577
3294,2022-07-25,2.532457903462422
3304,2022-08-08,2.544205075738287
3314,2022-08-22,2.60698762020381
3324,2022-09-05,2.62062788840209
3333,2022-09-19,2.4655489681831555
3343,2022-10-10,2.3815700235520953
3348,2022-10-17,2.5542609754542247
3358,2022-10-31,2.507815568593852
3368,2022-11-14,2.6968659326272886
3378,2022-11-28,2.671445411185006
3388,2022-12-12,2.755032103527255
3398,2022-12-26,2.6263173517512524
3407,2023-01-09,2.715244807809867
3417,2023-01-30,2.8350450822778575
3422,2023-02-06,2.9143232319865797
3432,2023-02-20,2.9570546183805817
3442,2023-03-06,3.0361831745246697
3452,2023-03-20,2.9705429646206527
3462,2023-04-03,2.986155367585503
3471,2023-04-17,2.966887755857725
3481,2023-05-04,3.0015910025781496
3488,2023-05-15,3.0032820834835285
3498,2023-05-29,3.0847847197795044
3508,2023-06-12,3.050150060894195
3526,2023-07-10,3.2218255027459968
3536,2023-07-24,3.2782674263618783
3546,2023-08-07,3.3501263813233564
3556,2023-08-21,3.307982657322663
3566,2023-09-04,3.373740454213717
3576,2023-09-18,3.3733561447705345
3590,2023-10-16,3.346143583652711
3600,2023-10-30,3.4028669730286976
3610,2023-11-13,3.5117912315635884
3620,2023-11-27,3.548513123746522
3630,2023-12-11,3.472144267701371
3640,2023-12-25,3.4217055142673463
3649,2024-01-08,3.5011502855742966
3659,2024-01-22,3.179700984681543
3669,2024-02-05,2.381147291442146
3683,2024-03-04,2.9355188622120565
3693,2024-03-18,3.1975493185941772
3703,2024-04-01,3.268000022026573
3711,2024-04-15,3.001333903417805
3721,2024-04-29,3.1103493784007403
3728,2024-05-13,3.1707434981972042
3738,2024-05-27,3.0951369555994894
3748,2024-06-11,2.8190964876066578
3757,2024-06-24,2.7194045808136464
3767,2024-07-08,2.717473530324256
3777,2024-07-22,2.740194252964074
3787,2024-08-05,2.813807079916475
3797,2024-08-19,2.784651718195813
3807,2024-09-02,2.7592535918820285
3817,2024-09-18,2.6477198634514627
3825,2024-09-30,3.2607992075191974
3830,2024-10-14,3.1896833127992563
3840,2024-10-28,3.554885844623628
3850,2024-11-11,3.7789528254333997
3860,2024-11-25,3.7607616847608982
3870,2024-12-09,4.064097521265731
3880,2024-12-23,3.8597966819433323
3889,2025-01-06,3.5280758736022793
3899,2025-01-20,3.827420343932802
3913,2025-02-17,4.054681009307283
3923,2025-03-03,4.103321136030503
3933,2025-03-17,4.33277691807846
3943,2025-03-31,4.169094909008475
3952,2025-04-14,4.110401811241721
3962,2025-04-28,4.176392039726502
3969,2025-05-12,4.537706367982352
3979,2025-05-26,4.591462118656154
3988,2025-06-09,4.819841833494256
3998,2025-06-23,4.768674769163246
4008,2025-07-07,5.154091599745615
4018,2025-07-21,5.457315328356436
4028,2025-08-04,5.588470664758267
4038,2025-08-18,5.793623099638526
4048,2025-09-01,5.791770765988736
4058,2025-09-15,5.909177044148466
4068,2025-09-29,5.839290096071675
4072,2025-10-13,5.831152499680561
4082,2025-10-27,6.158256493664549
4092,2025-11-10,6.4158712624243535
4102,2025-11-24,6.196694868455352
4112,2025-12-08,6.4657481952322025
4122,2025-12-22,6.335789804959749
4140,2026-01-19,6.830350285127415
4150,2026-02-02,6.955373659776481
4160,2026-02-24,7.240922547368975
4164,2026-03-02,7.165842683158434
4174,2026-03-16,7.143089272682083
4184,2026-03-30,6.674244634140349
4193,2026-04-13,6.745173218872034
4203,2026-04-27,6.861229429214453
4210,2026-05-11,7.245815295487244
4220,2026-05-25,6.866976718435176
4230,2026-06-08,6.218707229576644
4249,2026-07-06,5.927003661645694
4259,2026-07-20,5.501019093926918
4269,2026-08-03,5.687633701419403
4279,2026-08-17,6.776801562952998
4289,2026-08-31,6.828028609424188
